"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"mu usz-bar x 2(disz) tug2 usz-bar tur";"for the  weavers  2 small weaver garments";"wool of Apisal the warehouse Dazagula and 4 talents 9 mana black wool";"3.089055"
"2";"ensi2-ke4 a2 in-da-ag2 gi-zi-bi";"the governor  ordered  but these fresh reeds";"left behind Enan@@ natum";"3.772692"
"3";"2(disz) erin2 u4 3(u)-sze3 ki ur-{d}lamma dumu ur-nig2-ta";"2 labortroops for 3 days from UrLamma son of Urnig";"2 labortroops for 3 days from Urkisal";"52.708371"
"4";"ki-la2-bi 1(u) 2(disz) 1/3(disz) ma-na 7(disz) tug2 sag usz-bar";"their weight is 12 13 mana  7 sagubar garments";"its extent 13 13 shekels from UrEe the chief house administrator of oxen";"3.089055"
"5";"4(u) 1(asz) 3(ban2) 4(disz) 1/2(disz) sila3 sze gur";"41 gur 3 ban 4 12 sila barley";"4 ban 1 sila fine ground bread its labor 37 13 days sealed tablet of Ludingira";"3.218583"
"6";"3(disz) sila3 kasz 2(disz) sila ninda";"3 sila3 beer 2 sila3 bread";"3 sila3 beer 2 sila3 bread";"100.000000"
"7";"zi-ga la2-ia3 1(disz) ma-na 2(disz) 1/2(disz) gin2 ku3";"booked out  the deficit 1 mana 2 12 shekels silver";"booked out the deficit 1 mana 2 12 shekels silver Lu the foreman";"73.617034"
"8";"ugu2 lu2-kal-la ga2-ga2-dam 1(barig) 1(ban2) 8(disz) 1/2(disz) sila3 i3-nun";"to be entered to the debit account of Lukala  1 barig 1 ban2 8 12 sila3 butter oil";"account of Erreb under seal of Urtur 166 gur straw";"3.770872"
"9";"6(disz) masz-da3 e2-uz-ga mu-kux(DU) sza3-ga-na-kum";"6 gazelles  to household Uzga  delivery of aganakkum";"6 for Ur@@ pisan 3 for UrNi@@ ra 21 for Su@@ bappi@@ ra";"3.089055"
"10";"pisan-dub-ba siki-ba szu-du7-a sza3 umma{ki}";"Basketoftablets  wool rations completed  in Umma";"Basketoftablets wool rations completed in Umma";"100.000000"
"11";"2(esze3) 3(iku) 1/2(iku) GAN2 4(asz) 3(ban2)";"2 ee3 3 12 iku surface 4 gur 3 ban2";"2 ee3 3 12 iku surface area at 11 each 2 ee3 surface area at 1 each its barley 15 gur 3 barig";"22.816849"
"12";"1(disz) ab2 mu 3(disz) 1(disz) ab2 mu 2(disz)";"1 heifer 3 years old  1 heifer 2 years old";"1 heifer 3 years old 1 heifer 2 years old 1 heifer 1 year old";"62.628450"
"13";"da-da-ga szu ba-ti iti pa4-u2-e";"Dadaga received month Paue";"did Dadaga receive month paue";"12.703319"
"14";"nig2-{d}ba-ba6 3(disz) sila3 kasz 2(disz) sila3 ninda 2(disz) sa szum2";"for NigBaba  3 sila3 beer 2 sila3 bread 2 bundles onions";"for royal beerpoured ceremony and Ninkalla 3 oxen grainfed fine quality 2 heifers 2 years old";"3.458592"
"15";"kiszib3 gu-du-du 1(gesz2) 1(u) la2 1(disz) geme2 u4 1(disz)-sze3 kab2-ku5 u2-du-...";"under seal of Gududu  69 workdays at the reservoir of Udu";"under seal of Gududu 69 workdays at the reservoir of U@@ du 138 workdays at the reservoir of the erected wall and the";"39.242592"
"16";"2(u) 5(asz) 1(barig) 1(ban2) 8(disz) sila3 sze gur";"25 gur 1 barig 1 ban2 8 sila3 barley";"25 gur 1 barig 3 ban2 under seal of Abbakala 2 gur 2 barig 3 ban2 under seal of Abbakala 2 gur 2 barig 3 ban2 under seal of Abbakala";"8.218074"
"17";"n ... ki a-szi-an-x";"with Aian  with Aian  with Aian";"n kings n kings";"4.844232"
"18";"2(disz) x x x 1(disz) udu ma-a-an-du i3-du8";"2    1 sheep Mandu doorkeeper";"2 fine fine flour from the bala 1 suckling mountain barley";"4.456883"
"19";"u2 sze gesz-e3-a szabra-ne i3-gal2";"and barley threshed  of the chief house administrators  are here";"barley rations of the shepherds helpers of the fattailed sheep under seal of Luesukudra the man of Dugazida from the depot Sugan";"3.822975"
"20";"($ blank space $) geme2 u4 1(disz)-sze3 a-sza3 bad3 du3-a";"workdays at the field erected wall";"total 232 doe goats total 1 male mountain goat";"2.383854"
"21";"lugal an-ub-da limmu2-ba a2-ni-a2 dumu ur-mes";"king of the four corners  is your servant  is your servant";"king of the four corners Urmes son of Ursaga";"35.738801"
"22";"ki ab-ba-sa6-ga-ta zu-ba-ga i3-dab5";"from Abbasaga  Zubaga  accepted";"from the depot of the field Ninni@@ ge@@ ri@@ me 1 gur the house Ninmargugal";"2.627962"
"23";"1(u) 8(asz) 1(barig) kiszib3 ur-{d}ba-ba6 7(asz) 3(ban2) kiszib3 ur-{d}ig-alim dumu da-da";"and 18 gur 1 barig under seal of UrBaba 7 gur 3 ban2 under seal of UrIgalim son of Dada";"18 gur LuNingirsu via Bazi and 144 gur 4 barig under seal of angu";"14.799855"
"24";"5(asz) 2(barig) zi3 gur la2-ia3 nig2-ka9-ak la2-ia3";"5 gur 2 barig flour  deficit of the account";"5 gur 2 barig 2 ban2 ration barley with arakam";"26.269099"
"25";"b. 5(disz) kusz3 dagal a. 1(u) 1(disz) kusz3 gid2";"5 cubits the width  11 cubits the length";"I want to speak to Utu I want to speak to Utu Utu I do not know the mother that bore me I do not know the father that reared me";"1.426273"
"26";"2(u) 9(asz) 4(barig) 1(ban2) zi3 gur";"29 gur 4 barig 1 ban2 flour";"2 silo manager 14 gur 1 barig 1 ban2 7 sila3 barley";"13.545994"
"27";"pisan-dub-ba kiszib3 dab-ba da-da-mu";"Basketoftablets  sealed documents of dab  Dadamu";"Basketoftablets sealed documents of daba under Luara the she@@ ri@@ ff";"23.462350"
"28";"sze de6-a gur-gi mu sza-asz-ru-um ba-hul";"barley delivered  year arum was destroyed";"barley of GANgufields from Aabba@@ s account to be booked out";"3.747777"
"29";"sipa udu niga-ke4 a mu-na-ru";"the shepherd of the fattened sheep   dedicated this seal";"the shepherd who makes words beautiful for Nippur who makes holy the divine powers and plans of Eridu";"5.108099"
