"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"mu usz-bar x 2(disz) tug2 usz-bar tur";"for the  weavers  2 small weaver garments";"female weavers ful@@ lers and personnel of the house of the weavers from Girsu to Guabba";"4.891188"
"2";"ensi2-ke4 a2 in-da-ag2 gi-zi-bi";"the governor  ordered  but these fresh reeds";"show show show";"5.954673"
"3";"2(disz) erin2 u4 3(u)-sze3 ki ur-{d}lamma dumu ur-nig2-ta";"2 labortroops for 3 days from UrLamma son of Urnig";"2 cor@@ ve baskets to the we@@ ir of Apisal did the weaving female laborers the cor@@ ve baskets";"2.407486"
"4";"ki-la2-bi 1(u) 2(disz) 1/3(disz) ma-na 7(disz) tug2 sag usz-bar";"their weight is 12 13 mana  7 sagubar garments";"13 mina in shekels just palace of Nab@@ mu@@ li@@ r son of the D@@ akk@@ uri@@ ans";"2.147691"
"5";"4(u) 1(asz) 3(ban2) 4(disz) 1/2(disz) sila3 sze gur";"41 gur 3 ban 4 12 sila barley";"4 gur 1 barig 3 ban2 under seal of A@@ abba son of U@@ da";"3.458592"
"6";"3(disz) sila3 kasz 2(disz) sila ninda";"3 sila3 beer 2 sila3 bread";"3 sila3 beer 2 sila3 bread";"100.000000"
"7";"zi-ga la2-ia3 1(disz) ma-na 2(disz) 1/2(disz) gin2 ku3";"booked out  the deficit 1 mana 2 12 shekels silver";"booked out the deficit 1 mana 2 12 shekels silver Lu the foreman";"73.617034"
"8";"ugu2 lu2-kal-la ga2-ga2-dam 1(barig) 1(ban2) 8(disz) 1/2(disz) sila3 i3-nun";"to be entered to the debit account of Lukala  1 barig 1 ban2 8 12 sila3 butter oil";"under seal of Lukalla under seal of Lukalla year uSuen is king";"2.054015"
"9";"6(disz) masz-da3 e2-uz-ga mu-kux(DU) sza3-ga-na-kum";"6 gazelles  to household Uzga  delivery of aganakkum";"6 long@@ fle@@ ec@@ ed sheep month Grand Festival n 2 sheep";"3.386499"
"10";"pisan-dub-ba siki-ba szu-du7-a sza3 umma{ki}";"Basketoftablets  wool rations completed  in Umma";"Basketoftablets wool rations completed in Umma";"100.000000"
"11";"2(esze3) 3(iku) 1/2(iku) GAN2 4(asz) 3(ban2)";"2 ee3 3 12 iku surface 4 gur 3 ban2";"2 ee3 3 12 iku surface area at 11 each 2 ee3 5 12 iku surface area at 1 each its barley 31 gur 2 barig 3 ban2";"19.056141"
"12";"1(disz) ab2 mu 3(disz) 1(disz) ab2 mu 2(disz)";"1 heifer 3 years old  1 heifer 2 years old";"1 heifer 3 years old 1 heifer 2 years old 1 heifer 1 year old";"62.628450"
"13";"da-da-ga szu ba-ti iti pa4-u2-e";"Dadaga received month Paue";"Dad@@ u son of Zam@@ u";"4.058349"
"14";"nig2-{d}ba-ba6 3(disz) sila3 kasz 2(disz) sila3 ninda 2(disz) sa szum2";"for NigBaba  3 sila3 beer 2 sila3 bread 2 bundles onions";"18 male laborer workdays from the threshing floor of the field Wil@@ low stationed foreman Urmes";"1.222797"
"15";"kiszib3 gu-du-du 1(gesz2) 1(u) la2 1(disz) geme2 u4 1(disz)-sze3 kab2-ku5 u2-du-...";"under seal of Gududu  69 workdays at the reservoir of Udu";"under seal of Gududu 69 workdays at the reservoir of U@@ du 138 workdays at the reservoir of the erected wall and the";"39.242592"
"16";"2(u) 5(asz) 1(barig) 1(ban2) 8(disz) sila3 sze gur";"25 gur 1 barig 1 ban2 8 sila3 barley";"25 gur 1 barig barley and 2 barig emmer for Ma the household of the royal name";"15.138515"
"17";"n ... ki a-szi-an-x";"with Aian  with Aian  with Aian";"n from the side of 55 ninda the length 1 cub@@ it the width 1 cub@@ it the height";"1.012223"
"18";"2(disz) x x x 1(disz) udu ma-a-an-du i3-du8";"2    1 sheep Mandu doorkeeper";"2 sheep skins soaked with mad@@ der 1 shekels of glue";"4.932352"
