"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"mu usz-bar x 2(disz) tug2 usz-bar tur";"for the  weavers  2 small weaver garments";"year The silver";"5.954673"
"2";"ensi2-ke4 a2 in-da-ag2 gi-zi-bi";"the governor  ordered  but these fresh reeds";"The governor is something unseen before and for her she has made a fitting thing come forth resplendently";"2.147691"
"3";"2(disz) erin2 u4 3(u)-sze3 ki ur-{d}lamma dumu ur-nig2-ta";"2 labortroops for 3 days from UrLamma son of Urnig";"2 labortroops for 3 days from Urkisal";"52.708371"
"4";"ki-la2-bi 1(u) 2(disz) 1/3(disz) ma-na 7(disz) tug2 sag usz-bar";"their weight is 12 13 mana  7 sagubar garments";"their weight is 12 mana 7 mug garments";"37.707946"
"5";"4(u) 1(asz) 3(ban2) 4(disz) 1/2(disz) sila3 sze gur";"41 gur 3 ban 4 12 sila barley";"4 gur 3 ban2 4 sila3 barley";"13.540372"
"6";"3(disz) sila3 kasz 2(disz) sila ninda";"3 sila3 beer 2 sila3 bread";"3 sila3 beer 2 sila3 bread";"100.000000"
"7";"zi-ga la2-ia3 1(disz) ma-na 2(disz) 1/2(disz) gin2 ku3";"booked out  the deficit 1 mana 2 12 shekels silver";"booked out deficit 1 mana 2 12 shekels silver";"71.893934"
"8";"ugu2 lu2-kal-la ga2-ga2-dam 1(barig) 1(ban2) 8(disz) 1/2(disz) sila3 i3-nun";"to be entered to the debit account of Lukala  1 barig 1 ban2 8 12 sila3 butter oil";"it is to be placed on the debit account of Mani gur";"15.291812"
"9";"6(disz) masz-da3 e2-uz-ga mu-kux(DU) sza3-ga-na-kum";"6 gazelles  to household Uzga  delivery of aganakkum";"total 6 for the frontier in total 1 jug";"4.767707"
"10";"pisan-dub-ba siki-ba szu-du7-a sza3 umma{ki}";"Basketoftablets  wool rations completed  in Umma";"Basketoftablets wool rations completed in Umma";"100.000000"
"11";"2(esze3) 3(iku) 1/2(iku) GAN2 4(asz) 3(ban2)";"2 ee3 3 12 iku surface 4 gur 3 ban2";"2 ee3 3 12 iku surface area 1 each";"52.562406"
"12";"1(disz) ab2 mu 3(disz) 1(disz) ab2 mu 2(disz)";"1 heifer 3 years old  1 heifer 2 years old";"1 heifer 3 years old 1 heifer 2 years old 1 heifer 1 year old";"62.628450"
"13";"da-da-ga szu ba-ti iti pa4-u2-e";"Dadaga received month Paue";"Dadaga Urlu gudu officiant Naua";"10.682175"
"14";"nig2-{d}ba-ba6 3(disz) sila3 kasz 2(disz) sila3 ninda 2(disz) sa szum2";"for NigBaba  3 sila3 beer 2 sila3 bread 2 bundles onions";"for UrBaba 3 sila3 beer 2 sila3 bread 2 bundles onions";"80.705573"
"15";"kiszib3 gu-du-du 1(gesz2) 1(u) la2 1(disz) geme2 u4 1(disz)-sze3 kab2-ku5 u2-du-...";"under seal of Gududu  69 workdays at the reservoir of Udu";"under seal of Gududu 69 workdays at the reservoir of U@@ du 138 workdays at the reservoir of the erected wall and the";"39.242592"
"16";"2(u) 5(asz) 1(barig) 1(ban2) 8(disz) sila3 sze gur";"25 gur 1 barig 1 ban2 8 sila3 barley";"25 gur 1 barig 1 ban2 8 sila3 barley";"100.000000"
"17";"n ... ki a-szi-an-x";"with Aian  with Aian  with Aian";"with Aian with Aian";"60.653066"
"18";"2(disz) x x x 1(disz) udu ma-a-an-du i3-du8";"2    1 sheep Mandu doorkeeper";"2 sheep for the 1 sheep has given 1 sheep and has been struck";"6.285596"
"19";"u2 sze gesz-e3-a szabra-ne i3-gal2";"and barley threshed  of the chief house administrators  are here";"sar threshed barley are here";"9.346580"
"20";"($ blank space $) geme2 u4 1(disz)-sze3 a-sza3 bad3 du3-a";"workdays at the field erected wall";"workdays at the new field";"34.983301"
"21";"lugal an-ub-da limmu2-ba a2-ni-a2 dumu ur-mes";"king of the four corners  is your servant  is your servant";"king of the four corners is your servant is your servant";"100.000000"
"22";"ki ab-ba-sa6-ga-ta zu-ba-ga i3-dab5";"from Abbasaga  Zubaga  accepted";"from Abbasaga 49 prisoners 1 NI@@ bum";"13.134549"
"23";"1(u) 8(asz) 1(barig) kiszib3 ur-{d}ba-ba6 7(asz) 3(ban2) kiszib3 ur-{d}ig-alim dumu da-da";"and 18 gur 1 barig under seal of UrBaba 7 gur 3 ban2 under seal of UrIgalim son of Dada";"18 gur 1 barig under seal of UrNingezida and 7 gur 3 barig under seal of Urugalama under seal of UrNingezida";"41.351710"
"24";"5(asz) 2(barig) zi3 gur la2-ia3 nig2-ka9-ak la2-ia3";"5 gur 2 barig flour  deficit of the account";"5 gur 2 barig of barley deficit repaid the deficit account of the account";"26.584836"
"25";"b. 5(disz) kusz3 dagal a. 1(u) 1(disz) kusz3 gid2";"5 cubits the width  11 cubits the length";"5 cubits 1 cubits";"13.006502"
"26";"2(u) 9(asz) 4(barig) 1(ban2) zi3 gur";"29 gur 4 barig 1 ban2 flour";"19 gur 4 barig 1 ban2 rough ground flour";"46.713798"
"27";"pisan-dub-ba kiszib3 dab-ba da-da-mu";"Basketoftablets  sealed documents of dab  Dadamu";"Basketoftablets sealed documents of daba labor or troops Abbasaga oxen manager";"23.462350"
"28";"sze de6-a gur-gi mu sza-asz-ru-um ba-hul";"barley delivered  year arum was destroyed";"barley delivered year arum was destroyed";"100.000000"
"29";"sipa udu niga-ke4 a mu-na-ru";"the shepherd of the fattened sheep   dedicated this seal";"the shepherd who in those wars and battles by the might of Enlil";"7.347053"
"30";"sze bala-bi 4(barig) 1(gesz'u) 8(gesz2) 6(asz) 4(barig) 1(ban2) 8(disz) sila3 gur";"its bala barley 4 barig and 186 gur 4 barig 1 ban2 8 sila3";"its bala barley 4 barig and total 186 gur 4 barig 1 ban2 8 sila3";"80.032032"
"31";"ur-e2-masz dub-sar dumu ur-sila-luh";"UrEma  scribe  son of Ursilalu";"scribe scribe is your servant";"10.682175"
"32";"1(disz) sila4 AN ...-x 1(disz) udu niga siskur2 {d}nanna";"1 lamb   1 sheep grainfed offering of Nanna";"1 lamb for the uzgahouse 1 sheep barleyfed for LuNanna";"11.868405"
