,input,actual,predicted
0,"nim-sze3 u5 izi-ka
","to high on the platform of fire 
","May it be famous on the platform for him
"
1,"bara2 babbar {gesz}gu-za suhusz gin6-na sag ...
","Thus my head was raised heavenwards on the white dais and the throne with a firm foundation 
","white dais or a throne with a firm foundation
"
2,"ur-{d}lamma ensi2
","Urlamma the governor 
","UrLamma governor
"
3,"he2-ti-la-sze3
","for a Lethimlive exvoto 
","that he might live
"
4,"a-sza3 sze-ba ma-ra-ba-e-ne szu nam-ba-gid2-i-en-ze2-en
","They will offer you a field with its graindont accept it 
","In the field Annual barley rations
"
5,"sza3 e2 sag-da-na
","of the house of Sagdana 
","In the middle of the temple was forgotten
"
6,"lu2-bala-a
","To Lubalaya 
","apple
"
7,"ARAD2-zu
","your servant
","is your servant
"
8,"1(disz) udu niga an
","1 sheep barleyfed for An 
","1 sheep grainfed for An
"
9,"e a-sza3 lugal-mu10-us2-sa2 gaba a-gesztin-na-ka
","The levee of the Lugalmussa field that is in front of Agetin field 
","In the outskirts of heaven there shall be forgotten
"
10,"{d}szul-sza3-ga
","For ulaga 
","The statue of ulaga
"
11,"lugal-ki-gen-ne2-du7-du7
","Lugalkigenedudu 
","Lugalkigenedudu
"
12,"{gesz}gesz-da
","a wooden board 
","apple
"
13,"...-ga-gin7
","like  
","apple
"
14,"e2-an-na-ka
","Regarding my unceasing activity in the Eanna temple 
","and into the Eanna
"
15,"{d}en-ki
","for Enki
","For Enki
"
16,"im duru5
","wet tablets
","wet tablets
"
17,"... dam-gar3-ra {na4}lagab za-gin3-na
"," of the merchant a lapis lazuli block 
","merchant of lapis lazuli and lapis lazuli
"
18,"3(disz) masz-da3
","3 gazelles
","3 gazelles
"
19,"e2-gissu-be6
","did Egissube 
","apple
"
20,"1(u) engar u4 3(u)-sze3
","1 ploughmen for 3 days
","1 ploughmen for 3 days
"
21,"gir2 {u2}ninni5
","knife for reed rushes 
","knife for reed rushes
"
22,"{d}i-bi2-{d}suen
","IbbiSuen 
","IbbiSuen
"
23,"lagasz{ki}
","of Laga 
","of Laga
"
24,"ki-tusz akkil-li2-ni
","his Residence of Acclaim 
","his Residence of Acclaim
"
25,"musz gud3
","snake with a nest 
","snake of the nest reed
"
26,"lugal
","king 
","king
"
27,"lagasz{ki}
","of Laga 
","of Laga
"
28,"ur-{d}lamma
","did Urlamma 
","UrLamma
"
29,"musz
","snake 
","snake
"
30,"lugal uri5{ki}-ma
","king of Ur
","king of Ur
"
31,"ki-tusz nam-{d}en-lil2-la2-a-ni
","his abode of Enlilship 
","In the most husband of Inab
"
32,"... SUD-bi
","IddinDagan king An decreed a great fate for you in an exalted place 
","Its exuding auraself undulation establishedset
"
33,"%a ha-mun-s,i2-lum
","mouse 
","to make the young man tremble
"
34,"3(u) 6(disz) gu4 u2 6(disz) ab2 mu 2(asz) u2
","36 oxen grassfed 6 heifers 2 years old grassfed 
","36 heifers 2 years old grassfed
"
35,"ki ad-da-kal-la
","with Addakalla
","is your servant
"
36,"{d}ba-ba6 lu2-ulu3-gin7 u4-da-a-ni sa2 nam-ga-mu-ni-ib-du11
","Baba as if she were human also reached the end of her time 
","Baba the killed the gazelles
"
37,"... ni2-za he2-me-en kur-ra a-na-bi me-en
","You are of yourself a young man a native son what are you to the mountain 
","You yourself are a lament for your detriment you will be forgotten
"
38,"2(disz) masz-da3-nita2
","2 male gazelles 
","2 male laborers for male laborers
"
39,"hur-sag il2-la-gin7 mu-il2
","Like a risen up mountain I lifted it up   
","I raised up its top like a mountain
"
40,"sze-lu3
","a metal 
","apple
"
41,"... ma-na sig4 mun
"," mana brick salt 
","and mana brick salt
"
42,"... dingir-ra-na-kam
","He is the  of his god 
","In order to admiresee the grain goddess Ezina of lordship
"
43,"1(disz) zi-iz BAD = %a za-a-zum
","62 lines in this column
","62 lines in this column
"
44,"ambar{ki}-a i3-du3-du3
","they would build in Ambar 
","in Ambar
"
45,"sag-ge6 ki-sag-gal2-la-ba im-me-de3-re7-esz
","The blackheaded people were carried off from their strongholds 
","The blackheaded people would refashion its settlements
"
46,"a-a {d}en-lil2 dingir uszum pa e3 i-bi2-MU nun-gal-e-ne
","Father Enlil god who is an emergent uum creature foremost of the great princes Igigi 
","Father Enlil it is the god who make the path grow for you
"
47,"mu-sar
","wrote
","I had inscribed I had inscribed I had inscribed I had inscribed
"
48,"dam lugal-ezem
","the wife of Lugalezem 
","wife of Lugalezem
"
49,"... er2 im-ma-...
","She was weeping before Enlil 
","The older brother is to say the weeping and the child
"
50,"{d}utu
","Utu 
","For Utu
"
51,"e2 {d}inanna
","of the house of Itar 
","xxx
"
52,"1(disz) {d}nin-da-lagasz{ki}
","1 NinDaLagash 
","1 bundle onions
"
53,"{d}en-ki ...
","Enki  
","Enki
"
54,"ku3-sig17
","the gold
","with gold
"
55,"nu-nus-gen mu szu-ga2 li-bi2-in-du me-ri-gu10-ta bi2-in-du
","I the woman planted the tree not with my hands but with my feet 
","The plant that was not planted on the tree not with her hands
"
56,"szu-{d}utu ka-us2-sa2
","for Utu the kausa 
","from restored the kausa
"
57,"kiszib3 lu2-dingir-ra
","Sealed document of Ludingira
","under seal of Ludingira
"
58,"gir2-nun sza3-ga-ke4
","of the Heart of the Princely Way 
","Beloved of the heart
"
59,"nun-zu mas-su dingir gal-gal-e-ne
","Your ruler the leader of the gods 
","Your ruler is the great gods who carrier to the great gods
"
60,"ki di-ku5-da-ni
","his place of judgment
","his place of judgment
"
61,"... I-LU ga-mu-x-x-x-be2 ...
","At the front of the boat I shall intone a lamentseize the ladder I want to sail with you 
","So that the warehouses would be provisioned
"
62,"u3 du10 kux(KWU636)-kux(KWU636)-da
","might enjoy sweet sleep
","and that he might enter from outside
"
63,"{d}i-bi2-{d}suen
","IbbiSuen 
","IbbiSuen
"
64,"igi zi mu-szi-bar-ra-a
","had looked favorably upon him 
","she had sent out towards him
"
65,"... sipa sag-gig2-...
","I am the herder and shepherd of the blackheaded 
","They led a shepherd who begot me
"
66,"...-ba mu-ne-ba-e szu nu-um-ma-gid2-de3
","Water of the river was offered to them but not accepted 
","Barley of the field was offered to them but not accepted
"
67,"e2-mah mu-na-du3
","built her temple the Ema 
","Greathouse
"
68,"ad-da kur mar-tu
","father of the Amorite land 
","father of the Amorite land
"
69,"lu2-dingir-ra
","Ludingira
","Ludingira
"
70,"me3 ki-bala ... x szix(|KAxBALAG|) mu-...-gi4-gi4
","War  enemy lands  echoed 
","In all the way to make the rebel land
"
71,"... {d}suen mah-am3 ...
","Youth Suen is supreme  
","Suen is supreme
"
72,"... x IGI ... x x-bi BI-BI-...
"," cannot be dispersed 
","RmSn alas and RmSn how long will be accomplished
"
73,"ki-bi-a {d}inanna nam-nin gu2-sa-bi sag an-sze3 u6-mi-ni-in-il2-la = %a a-sza-risz {d}isz-tar a-na szar-ru-tu nap-har-szu2-nu ru-tab-bi-ma
","Up into that place Inanna rise to the rulership of them all 
","may your city become suitable for Inanna in the enship
"
74,"lil hu-ru gesztu2 szu2-a-ab szu2-a-ab ga2-e-gin7-nam eme-gir15-ra-me-en
","Childish fool cover your ears cover your ears Are you Sumeran like me 
","Childish fool driveling
"
75,"subur
","servant
","apple
"
76,"ma2 an-na-sze3
","for boat of An 
","for BoatofHeaven
"
77,"4(gesz2) x-x-num2
","24 by num 
","24 ninda squared
"
78,"usu mah {d}nanna {d}utu-ta
","and by the exalted power of Nanna and Utu 
","through the exalted strength of Nanna
"
79,"2(u) 2(disz)
","total 22 
","Seal of Eniggal
"
80,"im-hul-im-hul-e gu3 ba-an-de2 ug3-e sze am3-sza4
","He called upon the evil gales  the people groan 
","Allegiancesense was forgotten and the people wailed
"
81,"uzu sa gal
","large tendon 
","splayed tendon
"
82,"tukum-bi
","If
","If
"
83,"{d}nin-gir2-su2
","For Ningirsu 
","For Ningirsu
"
84,"dam ki-ag2
","beloved spouse 
","beloved spouse
"
85,"1(u) e2-uz-ga
","1 uzga house 
","1 household Uzga
"
86,"er3-ra-ba-ni
","Errabani 
","to Errabni
"
87,"1(disz) sila4 {d}gu-za {d}en-lil2-la2
","1 lamb for Throne of Enlil 
","1 lamb for Enlil and Ninlil
"
88,"{gesz}ne-ki-pu-um
","a wooden tool or container 
","apple
"
89,"kin-sig im-szu-mu ma-an-gub-bu-usz
","during afternoon meal my handtablet they prepared for me 
","to my keep clean they set out for me
"
90,"ma2 sal-la-ni-gin7 mu-un-til-til-la-gin7
","like his thin boat he has finished 
","Like a boat that makes divisions
"
91,"b'. ... ir-bu-u2
"," highest quality ghee and cheese issuing forth 
","In order to admiresee the grain goddess Ezina of lordship
"
92,"dub-gid2-da nam-ha-ni dumu hu-wa-wa
","longtablets of Namani son of uwawa
","longtablets of the daughter of Ninurta
"
93,"iti 1(u) 2(disz)-kam
","a period of 12 months 
","xxx
"
94,"e2-gal uru11{ki}-ka-ni
","his palace of Urub 
","his palace of Urub
"
95,"{u3-mu2}u2-mu10-ta
","from the fish stores 
","apple
"
96,"kiszib3 gi-ne2 ma2-lah5
","under seal of Gine the skipper 
","under seal of boatman
"
97,"en-he2-du7-an-na a-ra-zu ga-mu-ra-ab-du11
","I am Enheduana and I shall perform an arazu prayer for you 
","I shall to say good Eneduana
"
98,"lu2 gesz3 du11-ga-gu10 ...
","She said I want to find the man who violated me in all the lands 
","The man who is not gate
"
99,"lugal e2-a-ke4 ib2-su-su
","the owner of the house shall replace it
","and will compensate
"
100,"kur gu2 gar-gar
","the subjugator of many foreign lands 
","the subjugator of all the foreign lands
"
101,"dumu-munus lugal
","daughter of the king
","daughter of the king
"
102,"a-e i3-mi-e3
","he removed with water 
","he removed with water
"
103,"{d}nisaba
","Nisaba 
","Nisaba
"
104,"1(bur3) 2(esze3) GAN2 1(u) la2 1(asz@45)-ta
","1 bur3 2 ee3 surface area 1 less 1 each 
","1 bur3 2 ee3 surface area at 1 less 1 each
"
105,"u4 im-da-ab-su3-re6
","shall therewith prolong his days
","shall therewith prolong his life
"
106,"GAN2 ki-ag2
","the field beloved 
","beloved field
"
107,"... x UN ...
","May  be surpassing in the land 
","Gibil in the shrine of Zabalam
"
108,"...-du3-a
","The temple 
","Away fromby means of the accusation of the widows
"
109,"hur-sag ul nun-ne2-esz2 nu2-am3
","it is a mountain sleeping in full flowering 
","57 lines
"
110,"nig2-gur11 iri hul-a nu-me-a
","As if the property was not of a destroyed city 
","Though they were not the goods of a plundered city
"
111,"szukur(|IGI.IR|){zabar}
","a bronze lance
","apple
"
112,"ama-zu {d}nin-ti nin abzu-a
","and your mother is Ninti the queen of the abzu
","and your mother is Ninti the queen of the abzu
"
