,input,actual,predicted
0,"nim-sze3 u5 izi-ka
","to high on the platform of fire 
","May its name be famous from the fire
"
1,"bara2 babbar {gesz}gu-za suhusz gin6-na sag ...
","Thus my head was raised heavenwards on the white dais and the throne with a firm foundation 
","white dais may the foundation of the land
"
2,"ur-{d}lamma ensi2
","Urlamma the governor 
","UrLamma governor
"
3,"he2-ti-la-sze3
","for a Lethimlive exvoto 
","that he might live
"
4,"a-sza3 sze-ba ma-ra-ba-e-ne szu nam-ba-gid2-i-en-ze2-en
","They will offer you a field with its graindont accept it 
","The field ripened withplaced barley
"
5,"sza3 e2 sag-da-na
","of the house of Sagdana 
","Possessing the house of the chairholder
"
6,"lu2-bala-a
","To Lubalaya 
","lancet
"
7,"ARAD2-zu
","your servant
","is your servant
"
8,"1(disz) udu niga an
","1 sheep barleyfed for An 
","1 sheep barleyfed for An
"
9,"e a-sza3 lugal-mu10-us2-sa2 gaba a-gesztin-na-ka
","The levee of the Lugalmussa field that is in front of Agetin field 
","The field of the processional barges
"
10,"{d}szul-sza3-ga
","For ulaga 
","The statue of ulaga
"
11,"lugal-ki-gen-ne2-du7-du7
","Lugalkigenedudu 
","of Lugalkigenedudu
"
12,"{gesz}gesz-da
","a wooden board 
","lancet
"
13,"...-ga-gin7
","like  
","lancet
"
14,"e2-an-na-ka
","Regarding my unceasing activity in the Eanna temple 
","In Eanna
"
15,"{d}en-ki
","for Enki
","For Enki
"
16,"im duru5
","wet tablets
","wet tablets
"
17,"... dam-gar3-ra {na4}lagab za-gin3-na
"," of the merchant a lapis lazuli block 
","lapis lazuli
"
18,"3(disz) masz-da3
","3 gazelles
","3 gazelles
"
19,"e2-gissu-be6
","did Egissube 
","lancet
"
20,"1(u) engar u4 3(u)-sze3
","1 ploughmen for 3 days
","1 ploughmen for 3 days
"
21,"gir2 {u2}ninni5
","knife for reed rushes 
","knife for reed rushes
"
22,"{d}i-bi2-{d}suen
","IbbiSuen 
","IbbiSuen
"
23,"lagasz{ki}
","of Laga 
","of Laga
"
24,"ki-tusz akkil-li2-ni
","his Residence of Acclaim 
","his Residence of Acclaim
"
25,"musz gud3
","snake with a nest 
","snake
"
26,"lugal
","king 
","king
"
27,"lagasz{ki}
","of Laga 
","of Laga
"
28,"ur-{d}lamma
","did Urlamma 
","xxx
"
29,"musz
","snake 
","snake
"
30,"lugal uri5{ki}-ma
","king of Ur
","king of Ur
"
31,"ki-tusz nam-{d}en-lil2-la2-a-ni
","his abode of Enlilship 
","the herald
"
32,"... SUD-bi
","IddinDagan king An decreed a great fate for you in an exalted place 
","Its exuding auraself undulation establishedset
"
33,"%a ha-mun-s,i2-lum
","mouse 
","Thinheadeddeprecating man stupid of mind
"
34,"3(u) 6(disz) gu4 u2 6(disz) ab2 mu 2(asz) u2
","36 oxen grassfed 6 heifers 2 years old grassfed 
","36 oxen grassfed 6 cows
"
35,"ki ad-da-kal-la
","with Addakalla
","is your servant
"
36,"{d}ba-ba6 lu2-ulu3-gin7 u4-da-a-ni sa2 nam-ga-mu-ni-ib-du11
","Baba as if she were human also reached the end of her time 
","Baba was also not regularly performed
"
37,"... ni2-za he2-me-en kur-ra a-na-bi me-en
","You are of yourself a young man a native son what are you to the mountain 
","You yourself are a native son then it is you who weeps before you
"
38,"2(disz) masz-da3-nita2
","2 male gazelles 
","2 male laborers
"
39,"hur-sag il2-la-gin7 mu-il2
","Like a risen up mountain I lifted it up   
","I raised up like a mountain range
"
40,"sze-lu3
","a metal 
","lancet
"
41,"... ma-na sig4 mun
"," mana brick salt 
","and mana brick salt
"
42,"... dingir-ra-na-kam
","He is the  of his god 
","Thinheadeddeprecating man stupid of mind
"
43,"1(disz) zi-iz BAD = %a za-a-zum
","62 lines in this column
","1 Meaya the mayor
"
44,"ambar{ki}-a i3-du3-du3
","they would build in Ambar 
","a type of wood or plant
"
45,"sag-ge6 ki-sag-gal2-la-ba im-me-de3-re7-esz
","The blackheaded people were carried off from their strongholds 
","The populace goes with the Black Headed People
"
46,"a-a {d}en-lil2 dingir uszum pa e3 i-bi2-MU nun-gal-e-ne
","Father Enlil god who is an emergent uum creature foremost of the great princes Igigi 
","Father Enlil the god of the gods who weeps bitterly
"
47,"mu-sar
","wrote
","I had inscribed I had inscribed I had inscribed I had inscribed
"
48,"dam lugal-ezem
","the wife of Lugalezem 
","xxx
"
49,"... er2 im-ma-...
","She was weeping before Enlil 
","He wept
"
50,"{d}utu
","Utu 
","For Utu
"
51,"e2 {d}inanna
","of the house of Itar 
","xxx
"
52,"1(disz) {d}nin-da-lagasz{ki}
","1 NinDaLagash 
","1 calfgazelle
"
53,"{d}en-ki ...
","Enki  
","Enki
"
54,"ku3-sig17
","the gold
","with gold
"
55,"nu-nus-gen mu szu-ga2 li-bi2-in-du me-ri-gu10-ta bi2-in-du
","I the woman planted the tree not with my hands but with my feet 
","The noise of the tree not with her hands but with her feet
"
56,"szu-{d}utu ka-us2-sa2
","for Utu the kausa 
","from the KATAB Settlement
"
57,"kiszib3 lu2-dingir-ra
","Sealed document of Ludingira
","under seal of Ludingira
"
58,"gir2-nun sza3-ga-ke4
","of the Heart of the Princely Way 
","praise
"
59,"nun-zu mas-su dingir gal-gal-e-ne
","Your ruler the leader of the gods 
","Leader of the great gods
"
60,"ki di-ku5-da-ni
","his place of judgment
","his place of judgment
"
61,"... I-LU ga-mu-x-x-x-be2 ...
","At the front of the boat I shall intone a lamentseize the ladder I want to sail with you 
","Thinheadeddeprecating man stupid of mind
"
62,"u3 du10 kux(KWU636)-kux(KWU636)-da
","might enjoy sweet sleep
","that he might enter from outside
"
63,"{d}i-bi2-{d}suen
","IbbiSuen 
","IbbiSuen
"
64,"igi zi mu-szi-bar-ra-a
","had looked favorably upon him 
","she had sent out towards him
"
65,"... sipa sag-gig2-...
","I am the herder and shepherd of the blackheaded 
","The shepherd UrNamma
"
66,"...-ba mu-ne-ba-e szu nu-um-ma-gid2-de3
","Water of the river was offered to them but not accepted 
","Barley of the field was offered to them but not accepted
"
67,"e2-mah mu-na-du3
","built her temple the Ema 
","he built her temple
"
68,"ad-da kur mar-tu
","father of the Amorite land 
","father of the Amorite land
"
69,"lu2-dingir-ra
","Ludingira
","Ludingira
"
70,"me3 ki-bala ... x szix(|KAxBALAG|) mu-...-gi4-gi4
","War  enemy lands  echoed 
","The rebel land because of hatred of your Nannain the manner of one hated by your Nanna may An hand it over
"
71,"... {d}suen mah-am3 ...
","Youth Suen is supreme  
","Suen is supreme Suen
"
72,"... x IGI ... x x-bi BI-BI-...
"," cannot be dispersed 
","RmSn
"
73,"ki-bi-a {d}inanna nam-nin gu2-sa-bi sag an-sze3 u6-mi-ni-in-il2-la = %a a-sza-risz {d}isz-tar a-na szar-ru-tu nap-har-szu2-nu ru-tab-bi-ma
","Up into that place Inanna rise to the rulership of them all 
","shall make your city that Inanna This is the procedure of the netherworld you should not speak aloud
"
74,"lil hu-ru gesztu2 szu2-a-ab szu2-a-ab ga2-e-gin7-nam eme-gir15-ra-me-en
","Childish fool cover your ears cover your ears Are you Sumeran like me 
","By it wisdom do you recite cover you as their shadow
"
75,"subur
","servant
","lancet
"
76,"ma2 an-na-sze3
","for boat of An 
","for BoatofHeaven
"
77,"4(gesz2) x-x-num2
","24 by num 
","284
"
78,"usu mah {d}nanna {d}utu-ta
","and by the exalted power of Nanna and Utu 
","at the exalted strength of Nanna and Utu
"
79,"2(u) 2(disz)
","total 22 
","Seal of Eniggal
"
80,"im-hul-im-hul-e gu3 ba-an-de2 ug3-e sze am3-sza4
","He called upon the evil gales  the people groan 
","Allegiancesense was forgotten and the people wailed
"
81,"uzu sa gal
","large tendon 
","large intestines
"
82,"tukum-bi
","If
","If
"
83,"{d}nin-gir2-su2
","For Ningirsu 
","For Ningirsu
"
84,"dam ki-ag2
","beloved spouse 
","beloved spouse
"
85,"1(u) e2-uz-ga
","1 uzga house 
","1 uzgahouse
"
86,"er3-ra-ba-ni
","Errabani 
","to Errabni
"
87,"1(disz) sila4 {d}gu-za {d}en-lil2-la2
","1 lamb for Throne of Enlil 
","1 lamb for Guza
"
88,"{gesz}ne-ki-pu-um
","a wooden tool or container 
","lancet
"
89,"kin-sig im-szu-mu ma-an-gub-bu-usz
","during afternoon meal my handtablet they prepared for me 
","to my life they set out for me
"
90,"ma2 sal-la-ni-gin7 mu-un-til-til-la-gin7
","like his thin boat he has finished 
","The boat of the processional barges
"
91,"b'. ... ir-bu-u2
"," highest quality ghee and cheese issuing forth 
","The accusatory finger was there pointing behind him
"
92,"dub-gid2-da nam-ha-ni dumu hu-wa-wa
","longtablets of Namani son of uwawa
","longtablets
"
93,"iti 1(u) 2(disz)-kam
","a period of 12 months 
","xxx
"
94,"e2-gal uru11{ki}-ka-ni
","his palace of Urub 
","his palace of Urub
"
95,"{u3-mu2}u2-mu10-ta
","from the fish stores 
","lancet
"
96,"kiszib3 gi-ne2 ma2-lah5
","under seal of Gine the skipper 
","xxx
"
97,"en-he2-du7-an-na a-ra-zu ga-mu-ra-ab-du11
","I am Enheduana and I shall perform an arazu prayer for you 
","In Eneduana
"
98,"lu2 gesz3 du11-ga-gu10 ...
","She said I want to find the man who violated me in all the lands 
","A man who has not mated
"
99,"lugal e2-a-ke4 ib2-su-su
","the owner of the house shall replace it
","shall replace the house
"
100,"kur gu2 gar-gar
","the subjugator of many foreign lands 
","the subjugator of many foreign lands
"
101,"dumu-munus lugal
","daughter of the king
","daughter of the king
"
102,"a-e i3-mi-e3
","he removed with water 
","he removed with water
"
103,"{d}nisaba
","Nisaba 
","of Nisaba
"
104,"1(bur3) 2(esze3) GAN2 1(u) la2 1(asz@45)-ta
","1 bur3 2 ee3 surface area 1 less 1 each 
","1 bur3 2 ee3 surface area at 1 less 1 each
"
105,"u4 im-da-ab-su3-re6
","shall therewith prolong his days
","shall therewith prolong his life
"
106,"GAN2 ki-ag2
","the field beloved 
","beloved field
"
107,"... x UN ...
","May  be surpassing in the land 
","Gibil in the shrine of Zabalam
"
108,"...-du3-a
","The temple 
","Away fromby means of the accusation of the widows
"
109,"hur-sag ul nun-ne2-esz2 nu2-am3
","it is a mountain sleeping in full flowering 
","The mountain range spanning both heaven and earth
"
110,"nig2-gur11 iri hul-a nu-me-a
","As if the property was not of a destroyed city 
","Though they were not the goods of a plundered city
"
111,"szukur(|IGI.IR|){zabar}
","a bronze lance
","lancet
"
112,"ama-zu {d}nin-ti nin abzu-a
","and your mother is Ninti the queen of the abzu
","and your mother is Ninti the queen of the abzu
"
113,"sza3 ki-nu-nir{ki}
","in Kinunir 
","xxx
"
114,"ma2-gan me-luh-ha kur-bi-ta im-ma-ta-e11-de3
","Magan and Meluhha will descend from their land 
","and Magan together with its provinces the land
"
115,"szita4-e3
","itae 
","lancet
"
116,"ba-usz2
","has died
","slaughtered
"
117,"ur-{d}nin-gir2-su
","UrNingirsu 
","UrNingirsu
"
118,"nu-banda3-gu4-ke4-ne
","xxx 
","xxx
"
119,"lugal larsa{ki}-ma-sze3
","king of Larsa 
","king of Larsa
"
120,"sag-gig2-ga-ni-sze3 igi zi mu-szi-in-bar
","He looked faithfully towards his blackheaded people 
","On behalf of the blackheaded people he has looked at him
"
121,"1(u) ninda ka-gu7 ba-an-ne2 3(u) du8
","1 snacking loaves per ban2 3 baked 
","1 snacking loaves per ban2 3 baked
"
122,"e2-babbar-ra-sze3
","For the Ebabbar 
","lancet
"
123,"iri{ki}-na ir7-sag{muszen}-gin7 gesz-bi-da na-na-ra-ab-dal-e
","In his city I shall make the people fly from the trees like pigeons 
","The city of the processional barges
"
124,"siskurx(|AMAR.AMAR|)-ra-a-ni szu ba-an-szi-ti
","She accepted her siskur offeringritual on her Enheduanas behalf 
","The priestsmith Nintukalamma
"
125,"2(bur3) GAN2 ...
","2 bur3 field 
","2 bur3 field
"
126,"{d}mar-tu ga-ba-an-tuku-tuku
","I will marry Martu
","For Mardu
"
127,"szu-a bi2-gi4
","delivered 
","and two
"
128,"si-i3-tum nig2-ka9-ak-a
","remainder of the account 
","deficits
"
129,"ur-am3-ma
","Uramma 
","Uramma
"
130,"8(asz) du8
","8 units of baked bread 
","8 units of baked bread
"
131,"lu2-unu{ki} ugula x
","LuUnu  
","foreman LuUnu
"
132,"gesz-hur szu-luh ku3-ga
","who the divine plans and lustration rites 
","According to the pure and plans
"
133,"|ZI&ZI.LAGAB|
","kind of rush 
","rushes
"
134,"... x AN x x x gal-la ...
"," great  
","Return
"
135,"be-li2-i3-li2 maszkim
","Belil was enforcer 
","Blil responsible official
"
136,"iti szu-esz-sza
","month uea 
","month uea
"
137,"ku3-ga-am3
","City your inside is pure 
","In Eridu
"
