input,actual,predicted
"mu usz-bar x 2(disz) tug2 usz-bar tur
","for the  weavers  2 small weaver garments 
","year The textile rations 2 the small weavers
"
"ensi2-ke4 a2 in-da-ag2 gi-zi-bi
","the governor  ordered  but these fresh reeds 
","The governor cleansed the labor of the governor
"
"2(disz) erin2 u4 3(u)-sze3 ki ur-{d}lamma dumu ur-nig2-ta
","2 labortroops for 3 days from UrLamma son of Urnig
","2 labortroops for 3 days from UrLamma son of Urnig
"
"ki-la2-bi 1(u) 2(disz) 1/3(disz) ma-na 7(disz) tug2 sag usz-bar
","their weight is 12 13 mana  7 sagubar garments 
","their extent 12 13 minas 7 ubar garments
"
"4(u) 1(asz) 3(ban2) 4(disz) 1/2(disz) sila3 sze gur
","41 gur 3 ban 4 12 sila barley 
","4 gur 3 ban2 4 12 sila3 barley
"
"3(disz) sila3 kasz 2(disz) sila ninda
","3 sila3 beer 2 sila3 bread 
","3 sila3 beer 2 sila3 bread
"
"zi-ga la2-ia3 1(disz) ma-na 2(disz) 1/2(disz) gin2 ku3
","booked out  the deficit 1 mana 2 12 shekels silver 
","booked out the deficit 1 mana 2 12 shekels silver
"
"ugu2 lu2-kal-la ga2-ga2-dam 1(barig) 1(ban2) 8(disz) 1/2(disz) sila3 i3-nun
","to be entered to the debit account of Lukala  1 barig 1 ban2 8 12 sila3 butter oil 
","it is to be placed on the debit account of Lukala 8 12 sila3 butter oil
"
"6(disz) masz-da3 e2-uz-ga mu-kux(DU) sza3-ga-na-kum
","6 gazelles  to household Uzga  delivery of aganakkum 
","6 gazelles to household Uzga delivery of aganakkum
"
"pisan-dub-ba siki-ba szu-du7-a sza3 umma{ki}
","Basketoftablets  wool rations completed  in Umma 
","Basketoftablets wool rations completed in Umma
"
"2(esze3) 3(iku) 1/2(iku) GAN2 4(asz) 3(ban2)
","2 ee3 3 12 iku surface 4 gur 3 ban2 
","2 ee3 3 12 iku surface 4 gur 3 ban2
"
"1(disz) ab2 mu 3(disz) 1(disz) ab2 mu 2(disz)
","1 heifer 3 years old  1 heifer 2 years old 
","1 heifer 3 years old 1 heifer 2 years old
"
"da-da-ga szu ba-ti iti pa4-u2-e
","Dadaga received month Paue
","is your servant is your servant is your servant
"
"nig2-{d}ba-ba6 3(disz) sila3 kasz 2(disz) sila3 ninda 2(disz) sa szum2
","for NigBaba  3 sila3 beer 2 sila3 bread 2 bundles onions 
","for NigBaba 3 sila3 beer 2 sila3 bread 2 bundles onions
"
"kiszib3 gu-du-du 1(gesz2) 1(u) la2 1(disz) geme2 u4 1(disz)-sze3 kab2-ku5 u2-du-...
","under seal of Gududu  69 workdays at the reservoir of Udu 
","under seal of Gududu 69 workdays at the reservoir of Udu
"
"2(u) 5(asz) 1(barig) 1(ban2) 8(disz) sila3 sze gur
","25 gur 1 barig 1 ban2 8 sila3 barley 
","25 gur 1 barig 1 ban2 8 sila3 barley
"
"n ... ki a-szi-an-x
","with Aian  with Aian  with Aian 
","with Aian with Aian with Aian
"
"2(disz) x x x 1(disz) udu ma-a-an-du i3-du8
","2    1 sheep Mandu doorkeeper 
","2 1 sheep Mandu doorkeeper
"
"u2 sze gesz-e3-a szabra-ne i3-gal2
","and barley threshed  of the chief house administrators  are here 
","grassfed threshed barley chief household administrators are here
"
"($ blank space $) geme2 u4 1(disz)-sze3 a-sza3 bad3 du3-a
"," workdays at the field erected wall 
","workdays at the field iibpriests
"
"lugal an-ub-da limmu2-ba a2-ni-a2 dumu ur-mes
","king of the four corners  is your servant  is your servant 
","king of the four corners is your servant is your servant
"
"ki ab-ba-sa6-ga-ta zu-ba-ga i3-dab5
","from Abbasaga  Zubaga  accepted 
","from Abbasaga Zubaga accepted
"
