"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"mu usz-bar x 2(disz) tug2 usz-bar tur";"for the  weavers  2 small weaver garments";"year the martu wall was erected usuen strong king";"4.767707"
"2";"ensi2-ke4 a2 in-da-ag2 gi-zi-bi";"the governor  ordered  but these fresh reeds";"to increase food in a flooded agricultural tra@@ ct when i had put up levees";"1.313981"
"3";"2(disz) erin2 u4 3(u)-sze3 ki ur-{d}lamma dumu ur-nig2-ta";"2 labortroops for 3 days from urlamma son of urnig";"2 labortroops for 3 days from urkisal";"52.708371"
"4";"ki-la2-bi 1(u) 2(disz) 1/3(disz) ma-na 7(disz) tug2 sag usz-bar";"their weight is 12 13 mana  7 sagubar garments";"its soil 1 sar 1 ninda long at 1 sar per ninda";"1.693249"
"5";"4(u) 1(asz) 3(ban2) 4(disz) 1/2(disz) sila3 sze gur";"41 gur 3 ban 4 12 sila barley";"4 gur 1 barig 3 ban2 under seal of aabba son of u@@ da";"3.737438"
"6";"3(disz) sila3 kasz 2(disz) sila ninda";"3 sila3 beer 2 sila3 bread";"3 sila3 beer 2 sila3 bread";"100.000000"
"7";"zi-ga la2-ia3 1(disz) ma-na 2(disz) 1/2(disz) gin2 ku3";"booked out  the deficit 1 mana 2 12 shekels silver";"booked out the deficit 1 mana 2 12 shekels silver lu the foreman";"73.617034"
"8";"ugu2 lu2-kal-la ga2-ga2-dam 1(barig) 1(ban2) 8(disz) 1/2(disz) sila3 i3-nun";"to be entered to the debit account of lukala  1 barig 1 ban2 8 12 sila3 butter oil";"the widow to the powerful man should not be made subordinate the man of 1 shekel";"5.427659"
"9";"6(disz) masz-da3 e2-uz-ga mu-kux(DU) sza3-ga-na-kum";"6 gazelles  to household uzga  delivery of aganakkum";"6 female kids suckling 1 female kid suckling";"5.522398"
"10";"pisan-dub-ba siki-ba szu-du7-a sza3 umma{ki}";"basketoftablets  wool rations completed  in umma";"basketoftablets wool rations completed in umma";"100.000000"
"11";"2(esze3) 3(iku) 1/2(iku) GAN2 4(asz) 3(ban2)";"2 ee3 3 12 iku surface 4 gur 3 ban2";"2 ee3 3 12 iku surface area at 11 each 2 ee3 surface area at 1 each";"28.175950"
"12";"1(disz) ab2 mu 3(disz) 1(disz) ab2 mu 2(disz)";"1 heifer 3 years old  1 heifer 2 years old";"1 heifer 3 years old 1 heifer 2 years old 1 heifer 1 year old";"62.628450"
"13";"da-da-ga szu ba-ti iti pa4-u2-e";"dadaga received month paue";"did nril receive month festival of ninazu";"6.567275"
"14";"nig2-{d}ba-ba6 3(disz) sila3 kasz 2(disz) sila3 ninda 2(disz) sa szum2";"for nigbaba  3 sila3 beer 2 sila3 bread 2 bundles onions";"for the spear fishermen and fishermen of the sukkalma 2 barig 2 ban2 boat@@ builders matters sea fishermen";"2.826521"
"15";"kiszib3 gu-du-du 1(gesz2) 1(u) la2 1(disz) geme2 u4 1(disz)-sze3 kab2-ku5 u2-du-...";"under seal of gududu  69 workdays at the reservoir of udu";"under seal of gududu 69 workdays at the reservoir of u@@ du 138 workdays at the reservoir of the erected wall and the";"39.242592"
