"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"mu usz-bar x 2(disz) tug2 usz-bar tur";"for the  weavers  2 small weaver garments";"year weavers 2 small weavers";"26.654296"
"2";"ensi2-ke4 a2 in-da-ag2 gi-zi-bi";"the governor  ordered  but these fresh reeds";"the ruler of the metal daggers";"6.870636"
"3";"2(disz) erin2 u4 3(u)-sze3 ki ur-{d}lamma dumu ur-nig2-ta";"2 labortroops for 3 days from urlamma son of urnig";"2 labortroops for 3 days from urlamma son of urnig";"100.000000"
"4";"ki-la2-bi 1(u) 2(disz) 1/3(disz) ma-na 7(disz) tug2 sag usz-bar";"their weight is 12 13 mana  7 sagubar garments";"their extent 12 13 mana 7 ubar garments";"33.764591"
"5";"4(u) 1(asz) 3(ban2) 4(disz) 1/2(disz) sila3 sze gur";"41 gur 3 ban 4 12 sila barley";"4 gur 3 ban2 4 12 sila3 barley";"16.515822"
"6";"3(disz) sila3 kasz 2(disz) sila ninda";"3 sila3 beer 2 sila3 bread";"3 sila3 beer 2 sila3 bread";"100.000000"
"7";"zi-ga la2-ia3 1(disz) ma-na 2(disz) 1/2(disz) gin2 ku3";"booked out  the deficit 1 mana 2 12 shekels silver";"booked out deficit 1 mana 2 12 shekels silver";"71.893934"
"8";"ugu2 lu2-kal-la ga2-ga2-dam 1(barig) 1(ban2) 8(disz) 1/2(disz) sila3 i3-nun";"to be entered to the debit account of lukala  1 barig 1 ban2 8 12 sila3 butter oil";"it is to be placed on the debit account of lukalla 1 barig 1 ban2 8 12 sila3 butter oil";"55.882652"
"9";"6(disz) masz-da3 e2-uz-ga mu-kux(DU) sza3-ga-na-kum";"6 gazelles  to household uzga  delivery of aganakkum";"6 gazelles to the uzgahouse delivery of a gazelle";"22.316181"
"10";"pisan-dub-ba siki-ba szu-du7-a sza3 umma{ki}";"basketoftablets  wool rations completed  in umma";"basketoftablets wool rations completed in umma";"100.000000"
"11";"2(esze3) 3(iku) 1/2(iku) GAN2 4(asz) 3(ban2)";"2 ee3 3 12 iku surface 4 gur 3 ban2";"3 ee3 3 12 iku surface 4 gur 3 ban2";"88.011174"
